Palabra;Grupo;Entidad;Frecuencia;Porcentaje;Pareto;Polaridad;Negativa;Neutra;Positiva;Puntuacion;Critica;Molestia;Duda;Disgusto;Miedo;Alegria;Tristeza;Sorpresa;Confianza
pague;PAGAR;;4045;0,29%;1;Neutra;0;1;0;0;no critico;7;9;7;0;0;0;0;0
entiendo;ENTENDER;;4035;0,29%;1;Positiva;0;0;1;5;no critico;0;0;0;0;0;0;0;0
debo;DEBER;;4024;0,29%;1;Neutra;0;1;0;0;no critico;7;7;7;0;0;0;9;0
deseo;DESEAR;;3947;0,28%;1;Neutra;0;1;0;0;no critico;0;0;0;0;0;0;0;0
fecha;FECHA;;3937;0,28%;1;Neutra;0;1;0;0;no critico;0;7;0;0;0;0;0;0
podria;PODRÍA;;3843;0,28%;1;Neutra;0;1;0;0;no critico;0;8;0;0;0;0;0;0
reprogramacion;REPROGRAMAR;;3833;0,28%;1;;;;;;;;;;;;;;
asi;ASI;;3811;0,27%;1;;;;;;;;;;;;;;
momento;MOMENTO;;3798;0,27%;1;Neutra;0;1;0;0;no critico;0;0;0;0;0;0;0;0
solicitud;SOLICITAR;;3672;0,26%;1;Neutra;0;1;0;0;no critico;0;9;0;0;0;0;0;2
interes;TASA INTERES;;3626;0,26%;1;;;;;;;;;;;;;;
sale;SALIR;;3595;0,26%;1;Neutra;0;1;0;0;no critico;0;0;0;0;0;0;0;0
seguro;SEGURIDAD;;3586;0,26%;1;Neutra;0;1;0;0;no critico;0;7;0;0;0;0;0;9
dos;NUMERO;;3362;0,24%;1;;;;;;;;;;;;;;
aun;AUN;;3335;0,24%;1;;;;;;;;;;;;;;
ayer;AYER;;3317;0,24%;1;Neutra;0;1;0;0;no critico;0;0;0;0;0;0;0;0
cobro;COBRAR;;3311;0,24%;1;Negativa;1;0;0;-3;no critico;8;0;7;0;0;0;5;0
necesito;NECESITAR;;3307;0,24%;1;Negativa;1;0;0;-4;no critico;9;7;0;0;0;0;0;0
numero;NUMERO;;3268;0,24%;1;Neutra;0;1;0;0;no critico;0;0;0;0;0;0;0;0
voy;IR;;3258;0,23%;1;Neutra;0;1;0;0;no critico;0;0;0;0;0;0;0;0
seria;SER;;3176;0,23%;1;Neutra;0;1;0;0;no critico;0;0;0;0;0;0;0;0
tambien;TAMBIEN;;3166;0,23%;1;Neutra;0;1;0;0;no critico;0;0;0;0;0;0;0;0
veo;VER;;3150;0,23%;1;Neutra;0;1;0;0;no critico;0;0;0;0;0;0;0;0
medio;MEDIO;;3132;0,23%;1;Negativa;1;0;0;-5;no critico;9;0;0;0;0;0;0;0
minimo;MINIMO;;3087;0,22%;1;;;;;;;;;;;;;;
reclamo;RECLAMO;;3085;0,22%;1;Negativa;1;0;0;-5;critico;10;8;10;5;0;5;0;0
credito;CREDITO;;3083;0,22%;1;Neutra;0;1;0;0;no critico;0;0;0;0;0;0;0;0
srta;SEÑORITA;;3023;0,22%;1;;;;;;;;;;;;;;
senorita;SENORITA;;2989;0,22%;1;Neutra;0;1;0;0;no critico;0;0;0;0;0;0;0;0
cancelar;CANCELAR;;2973;0,21%;1;Negativa;1;0;0;-5;critico;9;0;8;7;0;9;0;0
respuesta;RESPONDER;;2971;0,21%;1;Neutra;0;1;0;0;no critico;0;7;0;0;0;0;0;0
