1,Palabra,Grupo,Entidad,Frecuencia,Porcentaje,Pareto,Polaridad,Negativa,Neutra,Positiva,Puntuacion,Critica,Molestia,Duda,Disgusto,Miedo,Alegria,Tristeza,Sorpresa,Confianza
5640,operado,operar,,124,0,0,Negativa,1,0,0,-5,critico,0,10,0,10,0,7,0,0
5641,operarios,operar,,124,0,0,Negativa,1,0,0,-5,critico,0,10,0,10,0,7,0,0
5642,originales,original,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5643,ortigas,ortiga,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5644,ortopedia,ortopedia,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5645,otorga,otorgar,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5646,crepello,otros,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5647,cue,otros,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5648,cyj,otros,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5649,der,otros,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5650,deso,otros,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5651,ene,otros,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5652,enla,otros,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5653,ennla,otros,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5654,epa,otros,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5655,est,otros,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5656,maf,otros,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5657,maz,otros,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5658,mie,otros,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5659,mini,otros,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5660,mnn,otros,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5661,ram,otros,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5662,relsa,otros,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5663,rrpp,otros,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5664,tracker,otros,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5665,vana,otros,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5666,veltrac,otros,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5667,vinatea,otros,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5668,wao,otros,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5669,acc,otros,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5670,adm,otros,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5671,aea,otros,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5672,amp,otros,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5673,apm,otros,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5674,ara,otros,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5675,arh,otros,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5676,arj,otros,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5677,ars,otros,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5678,asb,otros,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5679,asparrin,otros,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5680,atp,otros,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5681,aud,otros,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5682,aug,otros,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
