1,Palabra,Grupo,Entidad,Frecuencia,Porcentaje,Pareto,Polaridad,Negativa,Neutra,Positiva,Puntuacion,Critica,Molestia,Duda,Disgusto,Miedo,Alegria,Tristeza,Sorpresa,Confianza
5861,sitios,sitio,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5862,sociales,social,,215,215,0,Neutra,0,0,0,0,no critico,0,0,0,0,0,0,0,0
5863,nsolicitud,solicitar,,4414,0,1,Neutra,0,1,0,0,no critico,0,9,0,0,0,0,0,2
5864,solicitaba,solicitar,,4414,0,1,Neutra,0,1,0,0,no critico,0,9,0,0,0,0,0,2
5865,solicitarles,solicitar,,4414,0,1,Neutra,0,1,0,0,no critico,0,9,0,0,0,0,0,2
5866,solictar,solicitar,,4414,0,1,Neutra,0,1,0,0,no critico,0,9,0,0,0,0,0,2
5867,soltero,soltero,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5868,solucionarlo,solucionar,,155,0,0,Neutra,0,1,0,0,no critico,0,0,0,0,10,0,0,10
5869,solutions,solucionar,,155,0,0,Neutra,0,1,0,0,no critico,0,0,0,0,10,0,0,10
5870,subiendo,subir,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5871,subsidio,subsidiar,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5872,suegra,familia,,326,326,0,Neutra,0,1,0,0,no critico,0,8,0,0,0,0,0,0
